3420	299.45	300.18
9060	299.45	299.26
11040	299.45	299.26
14880	299.45	299.3
16680	299.45	298.76
17460	299.45	299.58
23460	299.45	299.22
26580	299.35	299.08
27120	299.35	299.08
33180	299.45	298.69
33360	299.45	298.69
37560	299.45	298.85
39300	299.45	298.12
43140	299.45	299.31
43620	299.45	299.41
49860	299.55	299.13
54240	299.55	299.23
56400	299.65	299.39
60060	299.65	299.65
62160	299.65	299.09
62460	299.65	299.09
66300	299.65	299.09
68580	299.65	298.97
72300	299.55	298.97
78360	299.55	299.14
82740	299.55	299.14
84360	299.55	299.14
